control_before,year,month,block,total_lbs,total_value ,season
,2002,1,651,29.7,200.475,4
,2002,2,651,66.7,483.575,4
,2002,3,651,121.1,877.975,4
,2001,10,652,3874.28,23286.61,4
,2001,11,652,2045.4,13085.075,4
,2001,12,652,1507.4,9788.245,4
,2002,1,652,1015.6,6980.725,4
,2002,2,652,526.1,3468.75,4
,2002,3,652,124.4,794.3,4
,2001,10,653,10305.19,61779.485,4
,2001,11,653,3835.7,23063.51,4
,2001,12,653,2025.35,12992.7,4
,2002,1,653,657,4534.325,4
,2002,2,653,421.5,2781.175,4
,2002,3,653,136,986.9,4
,2001,10,655,2417.6,14685.65,4
,2001,11,655,458.3,2862.525,4
,2001,12,655,247.1,1762.71,4
,2002,1,655,283.5,1984.5,4
,2002,3,655,140.1,1050.75,4
,2001,10,656,1167.4,6914.15,4
,2001,11,656,1197.5,7481.63,4
,2001,12,656,141.63,1001.0175,4
,2002,1,656,473.9,3232.95,4
,2002,2,656,351,2544.75,4
,2002,3,656,493.7,2958,4
,2001,11,658,49.5,297,4
,2001,10,665,6730.3,41189.1,4
,2001,11,665,4416.5,28844.65,4
,2001,12,665,200.8,1331.6,4
,2002,1,665,330,2475,4
,2002,2,665,881,7048,4
,2001,11,667,327,2043.75,4
,2001,11,682,33,206.25,4
,2002,3,682,16.2,129.6,4
,2001,10,683,1467.5,8124,4
,2001,11,683,1632.9,9602.96,4
,2001,12,683,793.4,5244.36,4
,2002,1,683,650.6,4355.86,4
,2002,2,683,115.9,949.3,4
,2002,3,683,202,1445,4
,2001,10,686,688.43,4008.18,4
,2001,11,686,879.5,5317.5,4
,2001,12,686,1682.9,11151.72,4
,2002,1,686,1620.1,11052.3,4
,2002,2,686,1072.6,7634,4
,2002,3,686,76.8,566.3,4
,2001,10,701,163.8,1023.75,4
,2001,11,702,149.3,895.8,4
,2001,12,702,3,18,4
,2002,1,702,25,150,4
,2001,10,703,136.8,855,4
,2002,1,703,158,1108,4
,2002,2,703,382,2918,4
,2002,3,703,158,1264,4
,2001,10,704,981.8,7313.738,4
,2001,11,704,1122.6,7792.345,4
,2001,12,704,1293.6,10027.726,4
,2002,1,704,968.7,7378.8,4
,2002,2,704,379.5,3036,4
,2001,12,705,109.5,711.75,4
,2001,10,712,1515.2,9424.6,4
,2001,11,712,651.5,4006.725,4
,2001,12,712,163.11,1044.4,4
,2002,1,712,1872,12922.775,4
,2002,2,712,55.9,402.2,4
,2001,10,718,200.5,1203,4
,2001,10,719,6216.62,38714.565,4
,2001,11,719,6168.9,40144.825,4
,2001,12,719,3584.13,24897.345,4
,2002,1,719,4782.45,33741.975,4
,2002,2,719,2222.5,16714.3,4
,2002,3,719,927.81,6433.855,4
,2001,11,721,124,713,4
,2002,1,726,80,560,4
,2001,10,733,20.85,114.675,4
,2002,3,733,9.55,71.625,4
,2001,12,735,39.5,256.75,4
,2001,11,736,155.3,997.125,4
,2001,10,739,337.85,2210.175,4
,2001,11,739,19,123.5,4
,2001,12,739,220.75,1359.1,4
,2002,1,739,199,1343.25,4
,2002,2,739,12,78,4
,2001,10,740,1063.45,6675.95,4
,2001,11,740,47.7,286.2,4
,2001,12,740,98.3,589.8,4
,2002,1,740,415.25,2547.725,4
,2002,2,740,493.95,3025.1875,4
,2002,3,740,203.95,1161.2875,4
,2001,10,742,166.3,1039.375,4
,2001,10,745,70,420,4
,2001,10,750,123,738,4
,2001,11,750,25,175,4
,2001,12,751,29.4,220.5,4
,2001,10,752,430,2795,4
,2001,11,752,13,0,4
,2001,12,752,48.5,278.875,4
,2002,2,752,99.5,796,4
,2001,11,754,110,770,4
,2001,10,756,8560.23,57953.3025,4
,2001,11,756,3352.1,24219.325,4
,2001,12,756,2775.7,21169.275,4
,2002,1,756,1332.6,10392.45,4
,2002,2,756,586.8,4347.581,4
,2002,3,756,198.5,1560.7,4
,2002,1,758,373.7,2682.425,4
,2002,3,758,72.5,580,4
,2001,11,760,66,429,4
,2001,11,766,164.7,1029.375,4
,2001,11,767,258.2,1678.3,4
,2002,2,767,28.5,185.25,4
,2002,2,770,3.5,27.125,4
,2001,12,800,51,357,4
,2001,10,801,5345.1,31690.425,4
,2001,11,801,1073.8,6881.95,4
,2001,12,801,1099.2,7702.7,4
,2002,1,801,462,3234,4
,2002,2,801,495.3,3628.15,4
,2002,3,801,152.5,1172.5,4
,2001,10,802,3331.4,20665.175,4
,2001,11,802,841.6,5510.725,4
,2001,12,802,835,6234.4,4
,2002,1,802,1693.8,6351.3,4
,2002,2,802,199.3,1494.75,4
,2001,11,803,66,462,4
,2001,10,806,1335.8,8294.9,4
,2001,11,806,251,1631.5,4
,2001,12,806,68,442,4
,2001,10,813,8860,54355.05,4
,2001,11,813,5657,34731.75,4
,2001,12,813,1096,7085,4
